name,price,status,shipping,free_returns,items_sold
Men's & Women's Bags Vintage Leather Messenger Laptop Briefcase Satchel Unisex ,3800,New (Other),0,True,
Floral Laptop Backpack USB RFID Large Stylish School Travel Work Gift for Women,4599,Brand New,0,True,
"Leather Messenger Shoulder Laptop Men's Briefcase Satchel 18"" Very Stylish Goat ",3600,New (Other),0,True,
Michael Kors Jet Set Travel Large Commuter Tote Black MK Signature Laptop Bag,13900,Brand New,1795,True,
ADIDAS HERMOSA II MESH Backpack Student School Laptop Prime Pink,2999,Brand New,0,False,
Mercedes Benz Black canvas Laptop Backpack ,6500,Brand New,875,True,
Tumi Nappa Leather Expandable Messenger Laptop Briefcase Bag 96041-D4,5999,Pre-Owned,1699,False,
Space Jam 17” Looney Tunes Backpack With Laptop Sleeve 2021 Book Bag New Design,2222,Brand New,0,False,
"New Men's high-quality 18"" Backpack Vintage leather shoulder Rucksack Laptop Bag",4900,New (Other),0,True,
"THE NORTH FACE WOMEN'S JESTER 27L, LAPTOP BACKPACK (NEW TAUPE GREEN)",7999,Brand New,,False,
Multifunction Waterproof Travel Lightweight Backpack Shoulder Laptop Bag 35L US,2564,Brand New,,True,
"Large 18"" Men's Hand-Crafted Briefcase Real Leather Satchel Messenger Laptop Bag",3500,New (Other),0,True,
"18"" Messenger Laptop Satchel Shoulder Bag Men's Vintage Brown Genuine Leather",3990,New (Other),0,True,7
"18"" Men's Top-Quality Messenger Genuine Vintage Leather Satchel Laptop Sling Bag",2900,New (Other),0,True,0
HERSCHEL SUPPLY CO Little America Backpack Standard Laptop Sleeve Houndstooth ,999,Pre-Owned,2435,False,
"UNISEX 18"" Briefcase Genuine Vintage Leather Brown Messenger Shoulder Laptop Bag",4900,New (Other),0,True,9
Adidas Classic 3S III Laptop Backpack BLACK - NWT,3299,Brand New,799,True,0
"THE NORTH FACE WOMEN'S BOREALIS 28L, 15'' LAPTOP BACKPACK (UTILITY BROWN/VINTAGE",9900,Brand New,,False,
